epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1426.05,2.4287,2.47928,2.60865,0.82699,0.90253,0.8479,0.42444,1.67839,1.28326,2.55383,0.00066482,0.00066482,0.00066482
2,2912.59,1.03896,0.73488,1.35257,0.9749,0.97303,0.99027,0.59766,1.39534,0.78117,2.03633,0.00126558,0.00126558,0.00126558
3,4196.68,0.89577,0.54692,1.18719,0.98662,0.95766,0.98373,0.57439,1.57909,0.62452,2.07585,0.00180034,0.00180034,0.00180034
4,5382.4,0.81925,0.483,1.10905,0.92849,0.92208,0.96614,0.5003,1.71097,0.70169,2.2185,0.001703,0.001703,0.001703
5,6610.66,0.77071,0.43784,1.05985,0.98194,0.98501,0.99336,0.57624,1.5247,0.56599,1.97736,0.001604,0.001604,0.001604
6,7837.56,0.74276,0.41488,1.04043,0.97918,0.98687,0.99228,0.54525,1.635,0.59064,2.10528,0.001505,0.001505,0.001505
7,9042.15,0.72807,0.39897,1.02116,0.97988,0.97307,0.99246,0.63897,1.34804,0.51352,1.77172,0.001406,0.001406,0.001406
8,10239.1,0.71618,0.38023,1.01222,0.9763,0.97902,0.99206,0.62281,1.42381,0.5259,1.84561,0.001307,0.001307,0.001307
9,11425.3,0.69439,0.37351,0.99503,0.993,0.99201,0.99436,0.67519,1.28849,0.47157,1.68047,0.001208,0.001208,0.001208
10,12615.3,0.68971,0.36143,0.99031,0.99677,0.99301,0.99418,0.67101,1.27419,0.45541,1.67846,0.001109,0.001109,0.001109
11,13771.5,0.6694,0.33308,0.98892,0.994,0.99292,0.99428,0.7044,1.19798,0.45001,1.69228,0.00101,0.00101,0.00101
12,15080.3,0.66228,0.32696,0.97665,0.98908,0.98601,0.99409,0.71587,1.16393,0.43643,1.61939,0.000911,0.000911,0.000911
13,16411.7,0.64293,0.31315,0.96292,0.99499,0.99142,0.99401,0.68964,1.2247,0.44059,1.70087,0.000812,0.000812,0.000812
14,17604.8,0.632,0.30685,0.95017,0.9927,0.95131,0.99108,0.72612,1.09056,0.44763,1.51552,0.000713,0.000713,0.000713
15,18790.7,0.61877,0.29848,0.94698,0.96934,0.97903,0.99251,0.74468,1.0505,0.41923,1.5382,0.000614,0.000614,0.000614
16,19982,0.60954,0.29156,0.93891,0.99181,0.98102,0.9938,0.76107,1.03033,0.40682,1.46867,0.000515,0.000515,0.000515
17,21173.1,0.59864,0.28116,0.93659,0.99038,0.99101,0.99407,0.75541,1.03468,0.40541,1.49217,0.000416,0.000416,0.000416
18,22332.9,0.59514,0.27535,0.92706,0.98403,0.98458,0.99345,0.75332,1.05473,0.40463,1.50178,0.000317,0.000317,0.000317
19,23510.9,0.58543,0.26749,0.92436,0.99353,0.99101,0.99408,0.76678,1.02016,0.39198,1.47176,0.000218,0.000218,0.000218
20,24697.7,0.57925,0.25987,0.92075,0.99299,0.99086,0.99402,0.77369,0.99768,0.38243,1.4413,0.000119,0.000119,0.000119
